Cust_Reviews,Brands,Polarity
"Phone was returned.
Charger and adaptor received are not usable (different terminals) therefore you cant charge the $880 plus phone . Amazon should inform the seller about this. Saw one review with same issue.
Emails sent to me from NJ cannot be read. I live in NJ. Can't download music. I have a P10 pro and it works fine. Looks like the P30 pro's functionality was affected by Google's update. I still want to get one when the issue is resolved. I believe it is a better phone.",huawei,1
"I have owned a P20 Pro for about 14 months and that phone is amazing. Didn't really expect much of a difference with the P30 Pro, however, the look and feel of the P30 Pro is stunning, to say the least. Its front camera quality is mind-blowing (haven't explored the back). It's my greatest phone yet!!!!!",huawei,1
description misleading unlocked phone beware usable,LG,0
scam screen respond properly battery dy within one hour highly recommend one get product taken amazon immediately want everyone make mistake buying horrible product,Iphone,0
disappointed ordered success previous refurbished phone however iphone 7 128 gb stated unlocked stated verizon compatible clearly verizon tech stated system phone another country whose system totally incompatible u carrier system spent hour verizon store purchase brand new phone watched tried everything make refurbished work frustrated never refurbished phone thing,Iphone,0
phone work came damage top corner look dropped,Iphone,0
"Although the phone is something to behold, it is actually quite slippery in the hand. I did not receive the factory issued case in the box so I have to wait until the one I ordered arrives. The phone is a stunning upgrade from my Huawei P20 Pro. Slimmer, bigger screen. The new navigation gestures are a little hard to get used to at first as I am not using the onscreen gestures that are an option. The ""Night"" option in the camera takes spectacular low light photos. Out of the box, I received two updates from Huawei. Still waiting on 10.
Overall, would purchase again.",huawei,1
"iPhone better partner up with cannon or someone that knows about cameras because this thing is on fire !!
Android functionality sorth of sucks, but thats google haha, yet if you are looking for the best camera on a cellphone in the market this is it! Drop that old iPhone tech and feel this phone. Works amazing super fast and feels great!!",huawei,1
"I was a little hesitant reading all the other reviews about it not working in America, but I found it works great with Google Fi. Only thing is that my friends who have iPhone and I can't sent clear videos or pictures through SMS. I sync my phone number to my Hangout account and use that app to make calls and send messages. Camera is obviously advanced, so sometimes it more of a hindrance moving from iphone's ease of use. I think over time I'll get better at understanding all the advanced settings. Performance wise, this phone is great, fast load times and processing. Overall, very happy with my purchase.",huawei,1
Love it!,huawei,1
Super camera feature is the primary reason I bought this phone. I used it on my recent Europe trip and it really delivered. I am very pleased with the results. My pictures’ quality are comparable to my husband’s and my equipment costs 1/4 of his.,huawei,1
"I am glad that I didn't pay attention to the negative reviews. I would have missed out in one of the best phones I ever had. Once I got it, I just followed the instructions, put in the ATT sim and it was ready to rock. One unexpected benefit from this phone is the resection. it is way better than my old LGV40 and Samsung. All my friends are amazed by the picture quality. If you are in the states and not pressed to get on the 5G network, this is the phone to get until all the 5G hype settles and the prices go down.",huawei,1
"It's a great phone, looks nice, responds well, has a decent amount of features. The only problems I have so far is that the call volume always seems a little low compared to my old Galaxy phone, even if the volume max it out. It also doesn't seem to allow for expanded storage and has no audio port which means I cant hook it up to the non-bluetooth speakers in my car. Thankfully the phones built-in speakers work well enough to make up for that.",huawei,1
battery horrible went bed 100 charged tab open woke 5 hour later 15,Iphone,0
"I used to own the Google Pixel 3 phone and decided to switch to the P30 Pro, best decision ever. This phone an amazing camera, it's the best one on a phone I've ever used. Despite the ban on the U. S. android is still supported on the phone, which a huge relief I can use the Google assistant, Google maps, Google Play, ect. without any problems. It's such a beautiful phone, the color on the outside is gorgeous and I love the user interface of the phone. It was an expensive buy for me, but it was worth every penny, I absolutely LOVE this phone!",huawei,1
This by far is the things best phone out there right now. The camera is unparalleled beast. I also like the in screen fingerprint reader and EMUI gesture navigation. MUST BUY!!,huawei,1
awful paid 510 get defected camera work would recommend buying 3rd party seller every time try take picture phone freeze trying reach seller awhile unable contact,Iphone,0
bought phone amazon refurbished paid premium since figured would better quality phone would perform like new boy wrong anything buy say refurbished mean broken likely still broken receive like case tell fully inspect phone faulty hardware would realize earpiece blown hear anybody clearly phone play video us earpiece speaker sound horrible proximity sensor also never worked screen turn make call constantly putting people hold cheek press button every time battery came 84 capacity right gate needed new battery speed phone lowered apple worn battery defect present soon received phone tested buyspry sell junk phone look nice unusable actual phone amazon turn back practice default question repair back buyspry instead backing 90 day refurbished electronics gaurantee phone numerous glitch software well around feel duped bought phone paid extra amazon refurbished seal nothing buy go apple directly refurbished phone,Iphone,0
horrible went store activate phone find reported stolen come original box original accessory thin received phone cable charger box,Iphone,0
huge waste time description false phone compatible verizon work mobile waste time money buying verizon lied make sale,Iphone,0
le month receiving phone side silence button switch broke called customer service besides fact agent unfriendly seemed confused would call defected product instead going get fixed said could return refund would obviously leave without phone decided wait see could get fixed shop cheap update cheap fix two month phone phone randomly restarted overnight became locked calling carrier local phone store said phone contract must expired overnight phone turned phone actually fully unlocked keep trying call customer service even leave message told line busy one get back headache update changed three star one star one customer service agent saying simply busy talk phone trying explain problem fix despite telling already tried work another customer service agent called told issue refund ship back prepaid label able find new phone phone work tmobile mentioned user though fact button broke le month received still frustrating appreciate last customer service agent help,Iphone,0
phone worked fine day said bricked said connect itunes download update reset phone itunes able read phone useless,Iphone,0
"Excellent device, works perfectly, runs with high speed internet 4g LTE by T-Mobile.
All I can say is great! phone, great camera and great price👌👌👍👍",huawei,1
Right phone for the right price.,huawei,1
"Good phone with a great quality of video and pictures. And surprise, you've got a clear phone case inside of the box of this phone. Thanks, great phone for the prince.",huawei,1
The phone runs so smoothly even woth gaming. The camera is no doubt thr best,huawei,1
"Amazing phone. The pictures are great, especially in the night and the battery lives for more than 2 days. The only bad thing is that you can not use all sim cards in the USA with this phone. But if you are ready to use the right sim card, you have to buy this phone!",huawei,1
"Great phone for the price, works flawless, fast, long battery life and looks stunning.",huawei,1
Aftersales care,huawei,1
"I've only had the phone for a few weeks, but so far so good. The only small issue that I have noticed is the call volume, it's a little low for me, even at full volume.",huawei,1
Best phone I've ever held. Better than the iPhone x.,huawei,1
"All the same like older versions (little disappointing) , except the camera of course and it's much faster... so 4 and half stars let's says",huawei,0
All ok,huawei,1
The best smart phone of 2019. Amazing photo quality.,huawei,1
Awesome camera,huawei,1
u want listen music headphone buy phone bought thru google fi minute phone silence turn silence music even le half medium sound still happens update research found several issue cause sound issue able connect mine back step tracker app downloaded ridiculous since lot people listen music walking running still problem lg need fix around,LG,0
phone 2 year like lately screen turn black trick reboot nothing worked could shut phone looked problem google sure enough known issue called lg told problem offered help even said known problem screen turning black flat lied lg appliance tv never ever buy anything lg beware lg care,LG,0
Cool! i really like it! Battery is good! Very fast charge! Thank you for the charger adapter! Camera is amazing!,huawei,1
Everything perfect,huawei,1
"very wonderful, give me surprising",huawei,1
No case in the box. Unhappy.,huawei,0
Great product!,huawei,1
phone worked fine day said bricked said connect itunes download update reset phone itunes able read phone useless,Iphone,0
Very bad phone. In 2 months got down. Speakers when off. And system very slow. Not recommend to anyone. Also tried to contact the seller through amazon and they say there is no guarantee. Not happy,huawei,0
"Good phone, amazing camera",huawei,1
I'm happy with this product.,huawei,1
It is a great phone to have,huawei,1
Good!,huawei,1
nice,huawei,1
🤔Recieved an empty box. Phone missing Unbelievable.,huawei,0
"I purchased this simply for the cameras and to that I am in love. As a phone though, it is a limited yet vanilla experience.
Chipset wise you will be hard pressed to find a faster Android on the market. It is blazingly fast and seems to retain it's speed overtime. Also to mention is the battery life which is somewhere between amazing and epic. The fast charging will put enough juice in the device in 30 mins to keep it powered for a day or so. This can be a bit troublesome though as it's fast speed and fantastic battery life are a result of aggressive task killing and limiting background processes. This frequently causes issues for some apps that are working in the background or even streaming audio. This can be remedied with exceptions but still worth mentioning.
2 sim cards can be used nativly and it is hands down the best software I have ever used for managing two sims. No other Chinese phones have come close to that level of plug and play with hot swapping sims.
The most exciting part though and exclusively what I paid for is the sensor and photo AI. The zoom is simply incredible. You will not believe it at first. It zooms optically for a very low noise zoom, pushing the limit triggers the AI which does a fantastic job of stabilization at up to 50X. It is even able to capture color and exposure accurately at range. The night mode is also incredibly powerful but demands a tripod or very steady hand. Essentially a long exposure but with the miracle of the sensor that somehow fills in the details at a level your eye can not even see.",huawei,1
Beautiful Chinese Phone,huawei,1
"The phone looks real cool, and works well enough, especially for the price. The worst and most frustrating part for me, is the processor. Sometimes the phone just takes a minute...",huawei,0
Very good cell phone . I use IPhone for 8 years.,huawei,1
"I bought it on ebay but the same phone. Great looking phone. camera appears to be producing good photoes. one thing i want to mention, with ATT, i can'T get wifi calling, which sucks because my house has terrible att signal. This is likely a restriction by att than by huawei, but Thought would point it out as it might apply to others who may also have poor att signal at home",huawei,0
Must better than iPhone. Got this phone for 1 month and I love it. It is the best phone you can ever get. The night vision for taking picture is awesome.,huawei,1
"best phone I have ever had, had a mate 10 pro, still run like a champ!",huawei,1
"I am a touch/feel person before buying.
What a Pity One Can’t Get His/Her Hands On This Beauty!
Free market economy? Who knows what that means these days.",huawei,1
Best phone ever. I was not expecting that high quality when I got the phone as a backup phone for my trip. But I love it more than my Samsung Galaxy S9,huawei,1
good,huawei,1
"I've been using this phone for 3 weeks. The most impressive thing about this phone in my opinion is not the camara. Don't get me wrong, the camera is as good as everybody else said. However, I don't think the image quality here can replace what I get from my DSLR or my mirror less. It's just above average when compare to other phones in the market and having full set of lenses that fits in my pocket is quite a new experience.
Now, back to what I love the most about P30 Pro, it's the battery. When I opened the box for the first time, the phone had 33% of battery. I received the phone at work around 10:30am and didn't have a chance to recharge it. I ran around all day that day and used the phone like usual, making calls, texts, emails, read documents, web search, GPS, etc. Only didn't have a chance to watch video or listen to music. By 9:30pm, 11 hours later, the battery went down to 1% and I just barely made it home. So, 33% for 11 hours with normal usage is pretty good for me considering my old phone can never last more than 4 hours in the same circumstance.
After the first day, I always start the day with 95-100% battery. My days normally start at 8:30am to 10:00pm. I've always come home with 40% left after 13.5 hours. This is definitely new to me. No more powerbank, no more looking around for an outlet to charge my phone, no more fighting over the charger with my wife and kids when we're outside, no more rushing to my bedroom to charge my dying phone when I get home, etc. I can use my P30 Pro as much as I like when I'm outside without worrying about putting the phone in battery saving mode. When I came home, now I can relax, sit in the living room a bit, spend time in the kitchen a bit. Unlike before that I have to run to my bedroom to charge my phone right away because it's about to die in 5 minutes. What a difference sensation.
Just an FYI, my old phone was a 2 years old Samsung with 3600mAh battery. My wife's is a year old iPhone that battery always run out at the end of the day. P30 Pro last all the way through the night.
The second best thing about this phone is the charger. I used Samsung all these years and very familiar with their fast charge. However, I've never seen anything like Huawei's Super charge. It's just crazy fast.
A lot of times at night, I went to bed and forgot to charge my phone. Woke up at 5:00am to realize it and start charging the phone. Usually, the phone has about 35% left. After taking shower and getting dress which took me about 20 minutes, once I'm done the phone will be charged up to 90% already. If I waited 15 minutes more, it'll go up to 100%.
Couple days ago, I spent a lot of time waiting for people so I watch a lot of videos to kill time. I used up the battery more than usual but still had 26% left by the time I got home. So, watch and stream video consumed more power but wouldn't completely drain out the battery of P30 Pro.
Enough with the battery, as I mentioned before, the camera is good for as long as you don't expect the full frame or APS-C quality. For smartphone, However, this is absolutely the best for still photos.
Video, unfortunately, is another matter. Although P30 Pro can shoot 4k but it's only limit at 30fps. If you're looking for a better video capability, Samsung S10+ is a better choice because it can shoot 4k60. The P30 Pro, on the other hand, is limit even at 1080p because it's only does 60fps while S10+ can go upto 1080p240. Big difference.
The screen is only full HD, not quad like S10+ but it's still AMOLED and looks good with every tasks. I have no complain about the quality of the screen. In fact, I already dropped this phone once in my garage, face down. There's no crack or scratch and still works perfectly fine so I know it's durable.
The Emui, I don't know why people complain so much about Huawei interface. Some people said it's look too much like iPhone with all the apps present on screen. Well, there's a drawer too if you choose to use it and make it feels more like Samsung. To me, there are some features I like that easier than Samsung and there are some features that's harder as well. No matter which phone you choose, it'll never be 100% perfect so why complain?
I will conclude my review here that this P30 Pro is one of the best in the market right now, especially the battery and charger. I might have something else to add but that'd be in the future.
Add comment 1: I was so busy lately and only have a chance to walk around a bit last night. So, I'd like to add some photos I took with P30 Pro. The first 3 photos just to show the difference between each lenses from wide angle to 10x zoom (actually, it's more like 16mm, 27mm and 270mm prime).",huawei,1
"Ever since the Huawei p20 pro I no longer consider apple in the mix. This phone is amazing, fast and the camera, the camera is like hollywood style, the low light pictures tuen out amazing, and it has a telescopic camera. ergo is great and it is dual sim, I use Att card in the USA and have chips for Canada Brasil and Mexico and the phone works great in all locations. While in the USA I use two seperate American chips one for work related item and my personal number. A fantastic feature is that both sims are 4g at the same time. In non Huawei phone you could only have 4g on one chip but not both at the same time. This phone allows both sim chips to run on 4g simultaneously. Battery life is Great. Crancks enough power that I can charge others people phones. This is an amazing phone and if you love pictures you wont find a better phone on the market today. With phone connectivity, I have not had an issue. The charger is fast in half hour it goes from 1% to 78% charged. My phone can handle water. I jump into the water of a beach in (phone went underwater) Brazil and no issue, The phone somehow knows how it is in water and protective features turn on. It included an earphone jack adapter for headphone thatnhave the traditional jack as well as a set of usb c head phones. Also one reviewer claimed it does not record in 4K, that is an untrue statement. It does record in 4k I attached a photo of the resolution selection page. the Default is FHD, for 4k you just have to select in the settings that you want to record in 4K. Great phone.",huawei,1
first noticed phone touch screen work well iphone 6 calibration little sometimes dead spot thought maybe quirk lot apps transferred lived dropped big drop screen break afterwards vibration became unacceptably loud second time dropped screen cracked seeing result clumsiness ordered new screen vibration unit went work repairing opened noticed screw missing existing vibration unit became apparent phone repackaged return significant sloppy repair done wound getting brand new phone exact spec iphone 7 128g like night day brand new phone cost 100 piece junk never buy another refurbished phone,Iphone,0
refurbished iphone 7 ordered wife mother day defective spent lot effort back information transfer new phone even installed tempered screen protector go set process iphone discover signal service available switched sim card several time worked well previous iphones unit defective thought refurbished checked good new seller replied get order number reply taking long waiting reply returning everything,Iphone,0
purchased two new iphones company one husband fine one daughter function set iphone got message critical update failed numerous call apple got phone work 20 minute got lcritcal update failed message apple told u call service carrier u bring iphone put new sim card phone everything worked fine 5 day get critical update failed message,Iphone,0
"This phone is fast processing, good quality camera, good battery and excellent design. I definitely recommend.",huawei,1
"This it’s a very strong phone! My friends and I purchase it as a gift for friend and he like it so much! He show us the camera zooming capability and I was stun by how far and clear it can go! Sadly it only work on T-mobile........ yes take note, only work on T-MOBILE CARRIER!!! The battery, the performance and camera it’s another level and you won’t go wrong having it!",huawei,1
"I like it very much, just upgrade from my old p9. The only downside is that the charger is not for US socket. A converter is needed if you want to use its 40w fast charging feature.",huawei,1
"This is honestly probably the best phone I've owned. I am so glad I didnt spend over 1k on an apple phone. Such a pretty and sleek design, the camera is absolutely amazing, and just overall a very convenient phone to use. It uses the Android system, which I was already kind of familiar with, and there are enough good things in this world to describe how AMAZING the battery life is.",huawei,1
A fantastic phone. Probably the best phone I've ever owned. Photos are amazing quality. The battery life is excellent. Lasts for days.,huawei,1
Great phone,huawei,1
"Good phone,good performance very satisfied so far.",huawei,1
Amazing phone. Excellent camera and very professional seller,huawei,1
Now that Google ended support and security updates for Huawei Phones......I have a $900 paper weight. Oh well at least you can still expect this phone to send your personal data back to China.,huawei,1
"It's a good phone, but before you decide to buy it you would like to know this :
1 - It's slippery, you will loos it, order a flip cover to protect it and give you a good grip.
2 - It's a USB-C connector, so you can not charge or connect it with your old u-USB cable.
3 - You can not connect your lovely KOSS porta pro headseth, as there is no jack plug, unless you have a USB-C to jack adapter.
4 - If you don't have bluetooth in your car, there's no jack to connect the sound, unless you have a USB-C to jack adapter.
5 - The wide angle is nice, not a lot, but nice to have.
6 - The tele-zoom is nothing but impressive, and so are the low light capabilities.
Where most phones has a USB connector and a jack for the headseth, this phone has a USB-C connector that can connect a USB-C earpiece with microphone (included). So if you want to both charge and listen to music via a jack connector, you need a combined audio / USB splitter cable to do both at the same time.
Not staying with the standard solution here and keeping the audio jack is the only mistake they've made I think.",huawei,1
"We've had it for a few days and so far this is a great phone with an awesome screen and features, runs fast, looks nice, works with our network and you can't beat the price.
The phone is completely worth it the only thing I'm not completely in love with is the camera, is not bad it takes pretty good pictures but previously owned a zte axon 7 and the quality is lower on the Huawei Y9 which we don't mind honestly since this Huawei is not as expensive as the axon it is expected. But for the price is definitely a must buy we were weary of buying it because we saw a couple reviews and answers saying it might only take 2g or 3g but it received a 4g signal and everything works smoothly, we are currently using Cricket Wireless as our service provider. We had only purchased one phone to check if we like it and if it worked with Cricket and now we're ready to make another purchase because we loved it.",huawei,1
"This phone is exactly what I was looking for; A very large, bright screen, loud speaker (wish it had stereo speakers, but hey, no complaints here) and even with 3 gigs of RAM, it's still fast with the Kirin 710 processor. Also cames with Android Oreo out of the box. The Huawei cloud services that they offer isn't available in the US, but no big deal when Google keeps everything on their cloud. I did use the help app to ask some questions about settings and got answers back within in a few hours from Huawei's help team. Overall, a great phone at a great price. BUY IT!",huawei,1
"Closest phone to the Honor 8x which isn't released in the US. The screen is huge, very bright. The design is beautiful with blue backing, though which it was glass like the 8x. The phone is fast and snappy though ram management is aggressive and you will be reloading apps. The battery life is phenomenal, lasts 2 days sometimes. People tell me at times they call me but I did not receive call, if it wasn't for that I would give 5 stars.",huawei,1
"At this price point, you can't go wrong. This is a quality phone without doubt. Large screen with good color saturation and clarity. Good sound. A plethora of native settings to tweak the phone to suit your visual and performance needs. This is a not a Samsung Note 10! But for the features and performance at a little over $200, this ""beats the brakes off"" a phone that cost $600 more.",huawei,1
I dislike the fact that the ID I'm supposed to use with the phone isn't even available where I registered the phone.,huawei,0
Very poor phone... Battery is no good... Screen got freeze it self....don't buy it.... And I don't want your Refund..... Keep it for your self....,huawei,0
phone always dialing emergency contact even lock mode fragile shatter easily never buy phone preprogrammed emergency contact cannot deactivated,LG,0
This hone was bought for my 9 year old sister. For the price it performs extremely well. Design is sleek and classy. Screen is big and bright. Speakers are quite loud.,huawei,1
Perfect! Quality of the thousand dollar phones for way less.,huawei,1
"I have been using smartphones since BB days from 2000.
The display, battery life, camera, speed exceptionally good. Comparable to iPhone X, my kids have it.
Bluetooth works with my speaker system as well the car, flawlessly
Few things would have been nice like power connector not so smooth, sometimes I get SMS messages few minutes late.
But the price is absolutely unbeatable. Display is like a white paper ( Kindle like)",huawei,1
"Love the phone, but can't give it 5 stars as I've discovered it's not eligible to register with cloud services. When you go to register it, it asks your country, and USA isn't a choice. I called support and they acknowledged that fact and said to transfer my photos, etc from my old phone I would have to install the app ""Phone Clone"" on both phones and go from there.",huawei,1
"Product was delivered precisely as described. The box was sealed after a fast delivery. After unboxing I was able to configure the language of the phone to my own language. Camera is pretty great and I can play smoothly games without lag. A micro simcard does not fit so I had to use a nano simcard. Now I can enjoy 3G, 4G and 4G+ in my country. Also a 3.5mm audio jack is great so I can listen to my favourite music.",huawei,1
"The operating system seems to work fast and fairly well. The only drawback is the battery life. If everything is turned on, the battery will run down pretty fast. I saw one guy on the web testing the battery life with the clock on this model. It's unbelievable.",huawei,1
Love the phone but my main issue is. Can anyone get straight talk working on this phone in u.s if so plz plz help with getting service. P.s i hve tried bootloader not working. Cant figure out how to get verizon off dis phone.,huawei,1
got birthday present family member phone actually unlocked trying unlocked past 3 week nothing happening returning,LG,0
I am in love with this phone. Battery lasts forever.,huawei,1
I'm so disappointed...I've barely had this phone for 3 months and it no longer works. The display has blacked out and I cannot do anything on it. I don't recommend it.,huawei,0
Love this phone. Battery life is incredible and storage is so much better than my last phone. Can't find a better phone for the price!,huawei,1
Good,huawei,1
Excellent,huawei,1
It's a great phone,huawei,1
Hubby loves it!,huawei,1
phone would take sim card like ad said wasted 15 sim lot time trying get wack phone work never seller,Iphone,0
Not even the top model for Huawei Annie kicks the life out of any Samsung or Apple device,huawei,1
Great phone love it used all day with music at work from 8:20 to 4:30 ish come back home battery still on 86 % now that pretty f*** awesome I might say don't have to bring a charger with me as well and thats if your phone is fully charged up for that day.,huawei,1
"Phone is amazing thus far. Set up was kind of difficult, but afterwards best phone I have had to date.",huawei,1
Phone is fast. No glitches. Takes great pics! Sound quality is great. I would recommend this phone.,huawei,1
Great phone. Super battery and easy connectivity with every nework. Good photos... Look beautiful !!!,huawei,1
This model is not working properly with metro PCS. I tried 2 different new phones. Often incoming call goes to voicemail,huawei,0
product came unlocked adverised wasted time tried two sim card took told needed unlocked made sure ordered fully unlocked,Iphone,0
"I love the large screen, with so many great features and easy to navigate. Love the teal color too. I have Cricket cell phone service and everything transferred over very easy.",huawei,1
I got this for my ten year old. He's not complaining.,huawei,1
battery stay charged go send back,Iphone,0
"Awesome phone, quality pictures!! Great buy",huawei,1
like it,huawei,1
screen cracked keeping pocket keep charge waste money,Iphone,0
"Seriously, it a great phone.. very responsive, good camera quality and sleek design. The phone weight is slightly less than iPhone 8. The only drawback is it doesn’t connect to 5G network.",huawei,1
"It doesn't work with 4G in Afghanistan and may it won't in most Asian and European countries, I just waste my money for nothing",huawei,0
durability of battery is not good,huawei,1
perfect,huawei,1
Great phone highly recommend,huawei,1
"It was simply the best, it was unlocked to work in Honduras and everything is perfect.",huawei,1
I just love my new phone... I just can't wait to show it to my friends and I love all the features,huawei,1
Response time is awesome,huawei,1
Amazing phone I won't be going back to any other kind of phone!!,huawei,1
"Works on LTE 2 and 4 bands with AT&T and T-Mobile in the USA. Just traveled by road from Oklahoma to Louisiana, Florida and Mississippi and back. I had coverage all through. Bought it from Amazon. On time delivery. Comes with protective cover and screen protector. Beautiful phone. Battery lasts long time. Quick response. Very satisfied. Three Huawei phones in the family. Looking for more. Amazon does not give you warranty. Register with Huawei for warranty coverage.",huawei,1
"One of the phones does not work, does not get signal , and the camera does not work.",huawei,0
Very good celular by the cost. The camera could be better but is enough good.,huawei,1
perfect,huawei,1
"Good budget phone, work,s great, camera OK, bang for the bucks",huawei,1
Great phone. Blows everything else out the water for the price.,huawei,1
Works better than my galaxy 8,huawei,1
Awesome phone.,huawei,1
Large screen,huawei,1
very nice phone,huawei,1
Great phone! I was worried about getting a phone on amazon but it was a great experience,huawei,1
expected glass already cracked fingerprint reader failing stylus specifically ordered phone 16m camera insert box say 6 buy,LG,0
daily communication replacing old phone requested 3 pin charger given 2 pin one u unfortunately,LG,0
great cell,huawei,1
Love this phone. Super customizable. Has Huawei and Google store. Comes with a case and headphones! Color is super cute. And the battery last all day with heavy use. The camera is not the worst but wish it was better in low light. Of course it's a budget phone but well worth money paid. Face ID sensor works great. The only downside is no nfc which means no Google pay as it is in a low of Huawei phones.... Due to security reasons which could be bogus. But overall an awesome piece of equipment. fits 2 SIM cards and excpandable storage! Huge bright and crisp display. I really like this phone!! 🙌,huawei,1
Perfect,huawei,1
"Absolute crap. The front shooter is decent, but the back camera setup is terrible, the night mode and other camera options are trash, and I had high Hope's for the p30 lite, but it doesn't have correct fam bands, and with the old slow kirin 760, the camera, which was the selling point for me, just isnt nearly lgood enough to justify $350 midrange phones.
Pass on this, i went with p20 pro for 200 more, far superior product.",huawei,0
Why in the world you don't mansion in Your description that this phone “warning “ phone does NOT work in specific networks like Verizon or 3 other Network providers,huawei,0
Best phone ever even i found better deal but i like it very slim and big storage,huawei,1
phone trouble keeping reception frequent dropped call,LG,0
"The phone came within 3 days. All the accessories listed were included (charging cable, wall charger, screen protector, clear case, earbuds). The phone started up quickly upon turning on for the first time. It came mostly charged. I would suggest getting a camera lens protector as well since the lenses are exposed otherwise. :)",huawei,1
sim card phone packaging say sim card try get technical support get run around program return phone call frustrating make complete review without sim card,LG,0
"For the price, phone feels like perfect",huawei,1
"Phone looks good, selfie camera is good back triple camera nope, the finger print respond fast, battery life no so good.",huawei,1
"I got this phone on Sept 17th and so far it's really good. A lot of space, fingerprint features, good camera. Works well with my metro by T mobile carrier and LTE is great.
It also comes with screen protector, a clear cover, charger and headphones.
I would highly recommend to a friend.",huawei,1
everything fast phone battery killing fast processor,LG,0
died 1 27 2020 bought april 2019,LG,0
My support for Huawei is because I've been using this brand before and has a great quality at a fair price (not like other overpriced brands).,huawei,1
"I've used a 2016 Google Pixel for the past couple years and needed to upgrade when that phone recently died.
The P30 lite has a gorgeous screen with a tiny notch at the top - which I did not find distracting. The software is not stock android, but generally looked beautiful, functioned well, and had no bad habits. The software operates well and does a lot of thoughtful things that I appreciate.
The phone has a suite of ""built-in"" apps that you can delete, but they will only re-install themselves at the next Google Play update. Annoying. I don't know why phone makers still do this in 2019. This is more of a nitpick though.
What isn't a nitpick is the general sluggishness feeling of the phone. It feels slower than my 3 year old Pixel. Opening and closing of windows, zooming in on images, and just general operation feel less snappy than I would expect them to. Most people won't find this offensive, but if you're coming from a more powerful phone - even an older one - you'll notice it immediately.
For $270 its a great buy and for the price it would ordinarily be a five star phone. However given the alternatives, I'm afraid I have to ding it a star for the lack of speed. I'm returning mine for a Mi 9t.",huawei,1
really good,huawei,1
"I ordered this phone mainly for the dual SIM functionality. I won’t know how the dual SIM works until this November when I go to Asia. I will update the review when I have the first hand knowledge.
Thanks to Amazon Prime, I received the phone the day after I placed the order. There was a case and a screen protector included with the phone that were not mentioned in the product page.
I really like how the phone feels in my hand. It can be unlocked by fingerprint as well as the face recognition. So far, the battery life seems really good. Will update if there is anything worthwhile to mention.",huawei,1
"Everything is great except not supporting 5ghz WiFi. So if you care about the WiFi speed, then do not buy it.",huawei,1
Great phone. Upgraded from p20 lite which is also great. Bought 2 for me and my mom and we've never been happier,huawei,1
