,Cust_Reviews,Brands,Polarity,Positive,Negative
24,i use to own the google pixel 3 phone and decide to switch to the p30 pro best decision ever this phone an amaze camera its the best one on a phone ive ever use despite the ban on the u s android be still support on the phone which a huge relief i can use the google assistant google map google play ect without any problems its such a beautiful phone the color on the outside be gorgeous and i love the user interface of the phone it be an expensive buy for me but it be worth every penny i absolutely love this phone,huawei,1,1,0
25,this by far be the things best phone out there right now the camera be unparalleled beast i also like the in screen fingerprint reader and emui gesture navigation must buy,huawei,1,1,0
26,awful pay 510 get defect camera work would recommend buy 3rd party seller every time try take picture phone freeze try reach seller awhile unable contact,Iphone,0,0,1
27,buy phone amazon refurbish pay premium since figure would better quality phone would perform like new boy wrong anything buy say refurbish mean break likely still break receive like case tell fully inspect phone faulty hardware would realize earpiece blow hear anybody clearly phone play video us earpiece speaker sound horrible proximity sensor also never work screen turn make call constantly put people hold cheek press button every time battery come 84 capacity right gate need new battery speed phone lower apple wear battery defect present soon receive phone test buyspry sell junk phone look nice unusable actual phone amazon turn back practice default question repair back buyspry instead back 90 day refurbish electronics gaurantee phone numerous glitch software well around feel dupe buy phone pay extra amazon refurbish seal nothing buy go apple directly refurbish phone,Iphone,0,0,1
28,horrible go store activate phone find report steal come original box original accessory thin receive phone cable charger box,Iphone,0,0,1
29,huge waste time description false phone compatible verizon work mobile waste time money buy verizon lie make sale,Iphone,0,0,1
30,le month receive phone side silence button switch break call customer service besides fact agent unfriendly seem confuse would call defect product instead go get fix say could return refund would obviously leave without phone decide wait see could get fix shop cheap update cheap fix two month phone phone randomly restart overnight become lock call carrier local phone store say phone contract must expire overnight phone turn phone actually fully unlock keep try call customer service even leave message tell line busy one get back headache update change three star one star one customer service agent say simply busy talk phone try explain problem fix despite tell already try work another customer service agent call tell issue refund ship back prepay label able find new phone phone work tmobile mention user though fact button break le month receive still frustrate appreciate last customer service agent help,Iphone,0,0,1
31,phone work fine day say bricked say connect itunes download update reset phone itunes able read phone useless,Iphone,0,0,1
32,excellent device work perfectly run with high speed internet 4g lte by tmobile all i can say be great phone great camera and great price,huawei,1,1,0
33,right phone for the right price,huawei,1,1,0
34,good phone with a great quality of video and picture and surprise youve get a clear phone case inside of the box of this phone thank great phone for the prince,huawei,1,1,0
35,the phone run so smoothly even woth game the camera be no doubt thr best,huawei,1,1,0
36,amaze phone the picture be great especially in the night and the battery live for more than 2 days the only bad thing be that you can not use all sim card in the usa with this phone but if you be ready to use the right sim card you have to buy this phone,huawei,1,1,0
37,great phone for the price work flawless fast long battery life and look stun,huawei,1,1,0
38,aftersales care,huawei,1,1,0
39,ive only have the phone for a few weeks but so far so good the only small issue that i have notice be the call volume its a little low for me even at full volume,huawei,1,1,0
40,best phone ive ever hold better than the iphone x,huawei,1,1,0
41,all the same like older versions little disappoint except the camera of course and its much faster so 4 and half star let say,huawei,0,0,1
42,all ok,huawei,1,1,0
43,the best smart phone of 2019 amaze photo quality,huawei,1,1,0
44,awesome camera,huawei,1,1,0
45,u want listen music headphone buy phone buy thru google fi minute phone silence turn silence music even le half medium sound still happen update research find several issue cause sound issue able connect mine back step tracker app download ridiculous since lot people listen music walk run still problem lg need fix around,LG,0,0,1
46,phone 2 year like lately screen turn black trick reboot nothing work could shut phone look problem google sure enough know issue call lg tell problem offer help even say know problem screen turn black flat lie lg appliance tv never ever buy anything lg beware lg care,LG,0,0,1
47,cool i really like it battery be good very fast charge thank you for the charger adapter camera be amaze,huawei,1,1,0
48,everything perfect,huawei,1,1,0
49,very wonderful give me surprise,huawei,1,1,0
50,no case in the box unhappy,huawei,0,0,1
51,great product,huawei,1,1,0
52,phone work fine day say bricked say connect itunes download update reset phone itunes able read phone useless,Iphone,0,0,1
53,very bad phone in 2 months get down speakers when off and system very slow not recommend to anyone also try to contact the seller through amazon and they say there be no guarantee not happy,huawei,0,0,1
54,good phone amaze camera,huawei,1,1,0
55,im happy with this product,huawei,1,1,0
56,it be a great phone to have,huawei,1,1,0
57,good,huawei,1,1,0
58,nice,huawei,1,1,0
59,recieved an empty box phone miss unbelievable,huawei,0,0,1
60,i purchase this simply for the cameras and to that i be in love as a phone though it be a limit yet vanilla experience chipset wise you will be hard press to find a faster android on the market it be blazingly fast and seem to retain its speed overtime also to mention be the battery life which be somewhere between amaze and epic the fast charge will put enough juice in the device in 30 mins to keep it power for a day or so this can be a bite troublesome though as its fast speed and fantastic battery life be a result of aggressive task kill and limit background process this frequently cause issue for some apps that be work in the background or even stream audio this can be remedied with exceptions but still worth mention 2 sim card can be use nativly and it be hand down the best software i have ever use for manage two sims no other chinese phone have come close to that level of plug and play with hot swap sims the most excite part though and exclusively what i pay for be the sensor and photo ai the zoom be simply incredible you will not believe it at first it zoom optically for a very low noise zoom push the limit trigger the ai which do a fantastic job of stabilization at up to 50x it be even able to capture color and exposure accurately at range the night mode be also incredibly powerful but demand a tripod or very steady hand essentially a long exposure but with the miracle of the sensor that somehow fill in the detail at a level your eye can not even see,huawei,1,1,0
61,beautiful chinese phone,huawei,1,1,0
62,the phone look real cool and work well enough especially for the price the worst and most frustrate part for me be the processor sometimes the phone just take a minute,huawei,0,0,1
63,very good cell phone i use iphone for 8 years,huawei,1,1,0
64,i buy it on ebay but the same phone great look phone camera appear to be produce good photoes one thing i want to mention with att i cant get wifi call which suck because my house have terrible att signal this be likely a restriction by att than by huawei but think would point it out as it might apply to others who may also have poor att signal at home,huawei,0,0,1
65,must better than iphone get this phone for 1 month and i love it it be the best phone you can ever get the night vision for take picture be awesome,huawei,1,1,0
66,best phone i have ever have have a mate 10 pro still run like a champ,huawei,1,1,0
67,i be a touchfeel person before buy what a pity one can t get hisher hand on this beauty free market economy who know what that mean these days,huawei,1,1,0
68,best phone ever i be not expect that high quality when i get the phone as a backup phone for my trip but i love it more than my samsung galaxy s9,huawei,1,1,0
69,good,huawei,1,1,0
70,ive be use this phone for 3 weeks the most impressive thing about this phone in my opinion be not the camara dont get me wrong the camera be as good as everybody else say however i dont think the image quality here can replace what i get from my dslr or my mirror less its just above average when compare to other phone in the market and have full set of lenses that fit in my pocket be quite a new experience now back to what i love the most about p30 pro its the battery when i open the box for the first time the phone have 33 of battery i receive the phone at work around 1030am and didnt have a chance to recharge it i run around all day that day and use the phone like usual make call texts email read document web search gps etc only didnt have a chance to watch video or listen to music by 930pm 11 hours later the battery go down to 1 and i just barely make it home so 33 for 11 hours with normal usage be pretty good for me consider my old phone can never last more than 4 hours in the same circumstance after the first day i always start the day with 95100 battery my days normally start at 830am to 1000pm ive always come home with 40 leave after 135 hours this be definitely new to me no more powerbank no more look around for an outlet to charge my phone no more fight over the charger with my wife and kid when be outside no more rush to my bedroom to charge my die phone when i get home etc i can use my p30 pro as much as i like when im outside without worry about put the phone in battery save mode when i come home now i can relax sit in the live room a bite spend time in the kitchen a bite unlike before that i have to run to my bedroom to charge my phone right away because its about to die in 5 minutes what a difference sensation just an fyi my old phone be a 2 years old samsung with 3600mah battery my wifes be a year old iphone that battery always run out at the end of the day p30 pro last all the way through the night the second best thing about this phone be the charger i use samsung all these years and very familiar with their fast charge however ive never see anything like huaweis super charge its just crazy fast a lot of time at night i go to bed and forget to charge my phone wake up at 500am to realize it and start charge the phone usually the phone have about 35 leave after take shower and get dress which take me about 20 minutes once im do the phone will be charge up to 90 already if i wait 15 minutes more itll go up to 100 couple days ago i spend a lot of time wait for people so i watch a lot of videos to kill time i use up the battery more than usual but still have 26 leave by the time i get home so watch and stream video consume more power but wouldnt completely drain out the battery of p30 pro enough with the battery as i mention before the camera be good for as long as you dont expect the full frame or apsc quality for smartphone however this be absolutely the best for still photos video unfortunately be another matter although p30 pro can shoot 4k but its only limit at 30fps if youre look for a better video capability samsung s10 be a better choice because it can shoot 4k60 the p30 pro on the other hand be limit even at 1080p because its only do 60fps while s10 can go upto 1080p240 big difference the screen be only full hd not quad like s10 but its still amoled and look good with every task i have no complain about the quality of the screen in fact i already drop this phone once in my garage face down theres no crack or scratch and still work perfectly fine so i know its durable the emui i dont know why people complain so much about huawei interface some people say its look too much like iphone with all the apps present on screen well theres a drawer too if you choose to use it and make it feel more like samsung to me there be some feature i like that easier than samsung and there be some feature thats harder as well no matter which phone you choose itll never be 100 perfect so why complain i will conclude my review here that this p30 pro be one of the best in the market right now especially the battery and charger i might have something else to add but thatd be in the future add comment 1 i be so busy lately and only have a chance to walk around a bite last night so id like to add some photos i take with p30 pro the first 3 photos just to show the difference between each lenses from wide angle to 10x zoom actually its more like 16mm 27mm and 270mm prime,huawei,1,1,0
71,ever since the huawei p20 pro i no longer consider apple in the mix this phone be amaze fast and the camera the camera be like hollywood style the low light picture tuen out amaze and it have a telescopic camera ergo be great and it be dual sim i use att card in the usa and have chip for canada brasil and mexico and the phone work great in all locations while in the usa i use two seperate american chip one for work relate item and my personal number a fantastic feature be that both sims be 4g at the same time in non huawei phone you could only have 4g on one chip but not both at the same time this phone allow both sim chip to run on 4g simultaneously battery life be great crancks enough power that i can charge others people phone this be an amaze phone and if you love picture you wont find a better phone on the market today with phone connectivity i have not have an issue the charger be fast in half hour it go from 1 to 78 charge my phone can handle water i jump into the water of a beach in phone go underwater brazil and no issue the phone somehow know how it be in water and protective feature turn on it include an earphone jack adapter for headphone thatnhave the traditional jack as well as a set of usb c head phone also one reviewer claim it do not record in 4k that be an untrue statement it do record in 4k i attach a photo of the resolution selection page the default be fhd for 4k you just have to select in the settings that you want to record in 4k great phone,huawei,1,1,0
72,first notice phone touch screen work well iphone 6 calibration little sometimes dead spot think maybe quirk lot apps transfer live drop big drop screen break afterwards vibration become unacceptably loud second time drop screen crack see result clumsiness order new screen vibration unit go work repair open notice screw miss exist vibration unit become apparent phone repackaged return significant sloppy repair do wind get brand new phone exact spec iphone 7 128g like night day brand new phone cost 100 piece junk never buy another refurbish phone,Iphone,0,0,1
73,refurbish iphone 7 order wife mother day defective spend lot effort back information transfer new phone even instal temper screen protector go set process iphone discover signal service available switch sim card several time work well previous iphones unit defective think refurbish check good new seller reply get order number reply take long wait reply return everything,Iphone,0,0,1
74,purchase two new iphones company one husband fine one daughter function set iphone get message critical update fail numerous call apple get phone work 20 minute get lcritcal update fail message apple tell u call service carrier u bring iphone put new sim card phone everything work fine 5 day get critical update fail message,Iphone,0,0,1
75,this phone be fast process good quality camera good battery and excellent design i definitely recommend,huawei,1,1,0
76,this it s a very strong phone my friends and i purchase it as a gift for friend and he like it so much he show us the camera zoom capability and i be stun by how far and clear it can go sadly it only work on tmobile yes take note only work on tmobile carrier the battery the performance and camera it s another level and you win t go wrong have it,huawei,1,1,0
77,i like it very much just upgrade from my old p9 the only downside be that the charger be not for us socket a converter be need if you want to use its 40w fast charge feature,huawei,1,1,0
78,this be honestly probably the best phone ive own i be so glad i didnt spend over 1k on an apple phone such a pretty and sleek design the camera be absolutely amaze and just overall a very convenient phone to use it use the android system which i be already kind of familiar with and there be enough good things in this world to describe how amaze the battery life be,huawei,1,1,0
79,a fantastic phone probably the best phone ive ever own photos be amaze quality the battery life be excellent last for days,huawei,1,1,0
80,great phone,huawei,1,1,0
81,good phonegood performance very satisfy so far,huawei,1,1,0
82,amaze phone excellent camera and very professional seller,huawei,1,1,0
83,now that google end support and security update for huawei phonesi have a 900 paper weight oh well at least you can still expect this phone to send your personal data back to china,huawei,1,1,0
84,its a good phone but before you decide to buy it you would like to know this 1 its slippery you will loos it order a flip cover to protect it and give you a good grip 2 its a usbc connector so you can not charge or connect it with your old uusb cable 3 you can not connect your lovely koss porta pro headseth as there be no jack plug unless you have a usbc to jack adapter 4 if you dont have bluetooth in your car theres no jack to connect the sound unless you have a usbc to jack adapter 5 the wide angle be nice not a lot but nice to have 6 the telezoom be nothing but impressive and so be the low light capabilities where most phone have a usb connector and a jack for the headseth this phone have a usbc connector that can connect a usbc earpiece with microphone include so if you want to both charge and listen to music via a jack connector you need a combine audio usb splitter cable to do both at the same time not stay with the standard solution here and keep the audio jack be the only mistake theyve make i think,huawei,1,1,0
85,weve have it for a few days and so far this be a great phone with an awesome screen and feature run fast look nice work with our network and you cant beat the price the phone be completely worth it the only thing im not completely in love with be the camera be not bad it take pretty good picture but previously own a zte axon 7 and the quality be lower on the huawei y9 which we dont mind honestly since this huawei be not as expensive as the axon it be expect but for the price be definitely a must buy we be weary of buy it because we saw a couple review and answer say it might only take 2g or 3g but it receive a 4g signal and everything work smoothly we be currently use cricket wireless as our service provider we have only purchase one phone to check if we like it and if it work with cricket and now be ready to make another purchase because we love it,huawei,1,1,0
86,this phone be exactly what i be look for a very large bright screen loud speaker wish it have stereo speakers but hey no complaints here and even with 3 gigs of ram its still fast with the kirin 710 processor also cames with android oreo out of the box the huawei cloud service that they offer isnt available in the us but no big deal when google keep everything on their cloud i do use the help app to ask some question about settings and get answer back within in a few hours from huaweis help team overall a great phone at a great price buy it,huawei,1,1,0
87,closest phone to the honor 8x which isnt release in the us the screen be huge very bright the design be beautiful with blue back though which it be glass like the 8x the phone be fast and snappy though ram management be aggressive and you will be reload apps the battery life be phenomenal last 2 days sometimes people tell me at time they call me but i do not receive call if it wasnt for that i would give 5 star,huawei,1,1,0
88,at this price point you cant go wrong this be a quality phone without doubt large screen with good color saturation and clarity good sound a plethora of native settings to tweak the phone to suit your visual and performance need this be a not a samsung note 10 but for the feature and performance at a little over 200 this beat the brake off a phone that cost 600 more,huawei,1,1,0
89,i dislike the fact that the id im suppose to use with the phone isnt even available where i register the phone,huawei,0,0,1
90,very poor phone battery be no good screen get freeze it selfdont buy it and i dont want your refund keep it for your self,huawei,0,0,1
91,phone always dial emergency contact even lock mode fragile shatter easily never buy phone preprogrammed emergency contact cannot deactivate,LG,0,0,1
92,this hone be buy for my 9 year old sister for the price it perform extremely well design be sleek and classy screen be big and bright speakers be quite loud,huawei,1,1,0
93,perfect quality of the thousand dollar phone for way less,huawei,1,1,0
94,i have be use smartphones since bb days from 2000 the display battery life camera speed exceptionally good comparable to iphone x my kid have it bluetooth work with my speaker system as well the car flawlessly few things would have be nice like power connector not so smooth sometimes i get sms message few minutes late but the price be absolutely unbeatable display be like a white paper kindle like,huawei,1,1,0
95,love the phone but cant give it 5 star as ive discover its not eligible to register with cloud service when you go to register it it ask your country and usa isnt a choice i call support and they acknowledge that fact and say to transfer my photos etc from my old phone i would have to install the app phone clone on both phone and go from there,huawei,1,1,0
96,product be deliver precisely as describe the box be seal after a fast delivery after unbox i be able to configure the language of the phone to my own language camera be pretty great and i can play smoothly game without lag a micro simcard do not fit so i have to use a nano simcard now i can enjoy 3g 4g and 4g in my country also a 35mm audio jack be great so i can listen to my favourite music,huawei,1,1,0
97,the operate system seem to work fast and fairly well the only drawback be the battery life if everything be turn on the battery will run down pretty fast i saw one guy on the web test the battery life with the clock on this model its unbelievable,huawei,1,1,0
98,love the phone but my main issue be can anyone get straight talk work on this phone in us if so plz plz help with get service ps i hve try bootloader not work cant figure out how to get verizon off dis phone,huawei,1,1,0
99,get birthday present family member phone actually unlock try unlock past 3 week nothing happen return,LG,0,0,1
100,i be in love with this phone battery last forever,huawei,1,1,0
101,im so disappointedive barely have this phone for 3 months and it no longer work the display have black out and i cannot do anything on it i dont recommend it,huawei,0,0,1
102,love this phone battery life be incredible and storage be so much better than my last phone cant find a better phone for the price,huawei,1,1,0
103,good,huawei,1,1,0
104,excellent,huawei,1,1,0
105,its a great phone,huawei,1,1,0
106,hubby love it,huawei,1,1,0
107,phone would take sim card like ad say waste 15 sim lot time try get wack phone work never seller,Iphone,0,0,1
108,not even the top model for huawei annie kick the life out of any samsung or apple device,huawei,1,1,0
109,great phone love it use all day with music at work from 820 to 430 ish come back home battery still on 86 now that pretty f awesome i might say dont have to bring a charger with me as well and thats if your phone be fully charge up for that day,huawei,1,1,0
110,phone be amaze thus far set up be kind of difficult but afterwards best phone i have have to date,huawei,1,1,0
111,phone be fast no glitches take great pics sound quality be great i would recommend this phone,huawei,1,1,0
112,great phone super battery and easy connectivity with every nework good photos look beautiful,huawei,1,1,0
113,this model be not work properly with metro pcs i try 2 different new phone often incoming call go to voicemail,huawei,0,0,1
114,product come unlock adverised waste time try two sim card take tell need unlock make sure order fully unlock,Iphone,0,0,1
115,i love the large screen with so many great feature and easy to navigate love the teal color too i have cricket cell phone service and everything transfer over very easy,huawei,1,1,0
116,i get this for my ten year old hes not complain,huawei,1,1,0
117,battery stay charge go send back,Iphone,0,0,1
118,awesome phone quality picture great buy,huawei,1,1,0
119,like it,huawei,1,1,0
120,screen crack keep pocket keep charge waste money,Iphone,0,0,1
121,seriously it a great phone very responsive good camera quality and sleek design the phone weight be slightly less than iphone 8 the only drawback be it doesn t connect to 5g network,huawei,1,1,0
122,it doesnt work with 4g in afghanistan and may it wont in most asian and european countries i just waste my money for nothing,huawei,0,0,1
123,durability of battery be not good,huawei,1,1,0
124,perfect,huawei,1,1,0
125,great phone highly recommend,huawei,1,1,0
126,it be simply the best it be unlock to work in honduras and everything be perfect,huawei,1,1,0
127,i just love my new phone i just cant wait to show it to my friends and i love all the feature,huawei,1,1,0
128,response time be awesome,huawei,1,1,0
129,amaze phone i wont be go back to any other kind of phone,huawei,1,1,0
130,work on lte 2 and 4 band with att and tmobile in the usa just travel by road from oklahoma to louisiana florida and mississippi and back i have coverage all through buy it from amazon on time delivery come with protective cover and screen protector beautiful phone battery last long time quick response very satisfy three huawei phone in the family look for more amazon do not give you warranty register with huawei for warranty coverage,huawei,1,1,0
131,one of the phone do not work do not get signal and the camera do not work,huawei,0,0,1
132,very good celular by the cost the camera could be better but be enough good,huawei,1,1,0
133,perfect,huawei,1,1,0
134,good budget phone work great camera ok bang for the buck,huawei,1,1,0
135,great phone blow everything else out the water for the price,huawei,1,1,0
136,work better than my galaxy 8,huawei,1,1,0
137,awesome phone,huawei,1,1,0
138,large screen,huawei,1,1,0
139,very nice phone,huawei,1,1,0
140,great phone i be worry about get a phone on amazon but it be a great experience,huawei,1,1,0
141,expect glass already crack fingerprint reader fail stylus specifically order phone 16m camera insert box say 6 buy,LG,0,0,1
142,daily communication replace old phone request 3 pin charger give 2 pin one u unfortunately,LG,0,0,1
143,great cell,huawei,1,1,0
144,love this phone super customizable have huawei and google store come with a case and headphones color be super cute and the battery last all day with heavy use the camera be not the worst but wish it be better in low light of course its a budget phone but well worth money pay face id sensor work great the only downside be no nfc which mean no google pay as it be in a low of huawei phone due to security reason which could be bogus but overall an awesome piece of equipment fit 2 sim card and excpandable storage huge bright and crisp display i really like this phone,huawei,1,1,0
145,perfect,huawei,1,1,0
146,absolute crap the front shooter be decent but the back camera setup be terrible the night mode and other camera options be trash and i have high hop for the p30 lite but it doesnt have correct fam band and with the old slow kirin 760 the camera which be the sell point for me just isnt nearly lgood enough to justify 350 midrange phone pass on this i go with p20 pro for 200 more far superior product,huawei,0,0,1
147,why in the world you dont mansion in your description that this phone warn phone do not work in specific network like verizon or 3 other network providers,huawei,0,0,1
148,best phone ever even i find better deal but i like it very slim and big storage,huawei,1,1,0
149,phone trouble keep reception frequent drop call,LG,0,0,1
150,the phone come within 3 days all the accessories list be include charge cable wall charger screen protector clear case earbuds the phone start up quickly upon turn on for the first time it come mostly charge i would suggest get a camera lens protector as well since the lenses be expose otherwise,huawei,1,1,0
151,sim card phone package say sim card try get technical support get run around program return phone call frustrate make complete review without sim card,LG,0,0,1
152,for the price phone feel like perfect,huawei,1,1,0
153,phone look good selfie camera be good back triple camera nope the finger print respond fast battery life no so good,huawei,1,1,0
154,i get this phone on sept 17th and so far its really good a lot of space fingerprint feature good camera work well with my metro by t mobile carrier and lte be great it also come with screen protector a clear cover charger and headphones i would highly recommend to a friend,huawei,1,1,0
155,everything fast phone battery kill fast processor,LG,0,0,1
156,die 1 27 2020 buy april 2019,LG,0,0,1
157,my support for huawei be because ive be use this brand before and have a great quality at a fair price not like other overprice brand,huawei,1,1,0
158,ive use a 2016 google pixel for the past couple years and need to upgrade when that phone recently die the p30 lite have a gorgeous screen with a tiny notch at the top which i do not find distract the software be not stock android but generally look beautiful function well and have no bad habit the software operate well and do a lot of thoughtful things that i appreciate the phone have a suite of builtin apps that you can delete but they will only reinstall themselves at the next google play update annoy i dont know why phone makers still do this in 2019 this be more of a nitpick though what isnt a nitpick be the general sluggishness feel of the phone it feel slower than my 3 year old pixel open and close of windows zoom in on image and just general operation feel less snappy than i would expect them to most people wont find this offensive but if youre come from a more powerful phone even an older one youll notice it immediately for 270 its a great buy and for the price it would ordinarily be a five star phone however give the alternatives im afraid i have to ding it a star for the lack of speed im return mine for a mi 9t,huawei,1,1,0
159,really good,huawei,1,1,0
160,i order this phone mainly for the dual sim functionality i win t know how the dual sim work until this november when i go to asia i will update the review when i have the first hand knowledge thank to amazon prime i receive the phone the day after i place the order there be a case and a screen protector include with the phone that be not mention in the product page i really like how the phone feel in my hand it can be unlock by fingerprint as well as the face recognition so far the battery life seem really good will update if there be anything worthwhile to mention,huawei,1,1,0
161,everything be great except not support 5ghz wifi so if you care about the wifi speed then do not buy it,huawei,1,1,0
162,great phone upgrade from p20 lite which be also great buy 2 for me and my mom and weve never be happier,huawei,1,1,0
163,we buy this phone for my brother in law his iphone have be crack and he be look for a long battery life cell phone we have many colleage be use this phone it have long battery life and large storage and the price be very cheap we get tell the key board be little hard to use but it can set as iphone mode then the keyboards issue be solve the only issue be when people try to send the message from iphone to this phone because he be use iphone so all the phone be send the message as imessage so of it can not get through we will keep update the issue but after all it be a great phone as 200,huawei,1,1,0
